T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
52.80,12.40,2.80,5.06,2.57,0.147,0.060,0.032,6.07
52.33,13.03,2.85,5.50,2.52,0.358,0.055,0.034,5.93
53.37,11.66,2.58,4.62,2.50,0.115,0.053,0.035,6.73
52.24,12.91,3.24,5.54,2.51,0.394,0.057,0.033,5.87
53.55,11.16,2.71,5.27,2.58,0.224,0.055,0.031,6.20
52.23,12.94,3.08,5.90,2.55,0.312,0.057,0.032,6.47
53.25,11.58,2.50,4.98,2.56,0.180,0.056,0.035,6.33
52.13,13.07,2.99,5.46,2.52,0.221,0.058,0.035,6.20
53.70,10.82,2.62,5.51,2.56,0.110,0.060,0.032,6.53
51.98,13.04,3.18,6.32,2.64,0.570,0.062,0.032,6.13
53.60,10.82,2.47,5.55,2.65,0.117,0.058,0.034,6.60
52.44,12.58,2.69,5.46,2.61,0.684,0.062,0.033,6.00
53.63,11.09,2.47,4.97,2.53,0.162,0.057,0.034,6.87
52.07,12.87,2.70,5.84,2.65,0.790,0.066,0.033,6.27
53.68,10.92,2.46,5.38,2.61,0.174,0.056,0.033,6.80
52.42,12.54,2.76,5.79,2.65,0.670,0.061,0.031,5.93
53.42,11.40,2.40,5.63,2.63,0.114,0.060,0.032,6.40
52.29,12.27,2.41,5.75,2.62,1.470,0.060,0.032,6.33
